,word,duration,sd,ed
0,,1173,2002-02-22 00:00:00,2005-05-10 00:00:00
1, und,1821,2017-07-10 00:00:00,2022-07-05 00:00:00
2, symetric,7,2008-07-04 00:00:00,2008-07-11 00:00:00
3, matricies,116,2012-04-28 00:00:00,2012-08-22 00:00:00
4, xtnx,13,2011-08-17 00:00:00,2011-08-30 00:00:00
5, eigendecomposition,2939,2012-07-27 00:00:00,2020-08-13 00:00:00
6,angewandte,1035,2019-09-04 00:00:00,2022-07-05 00:00:00
7, postive,9,2013-03-29 00:00:00,2013-04-07 00:00:00
8, definitna,735,2011-02-21 00:00:00,2013-02-25 00:00:00
9, eigen,227,2020-09-04 00:00:00,2021-04-19 00:00:00
10, frobenius,235,2012-10-19 00:00:00,2013-06-11 00:00:00
11, definita,2533,2006-03-21 00:00:00,2013-02-25 00:00:00
12, ermitian,5,2006-09-20 00:00:00,2006-09-25 00:00:00
13, cholesky,2547,2015-07-15 00:00:00,2022-07-05 00:00:00
14,definida,1938,2007-04-11 00:00:00,2012-07-31 00:00:00
15, matriciel,17,2012-10-19 00:00:00,2012-11-05 00:00:00
16, difinita,1571,2008-11-07 00:00:00,2013-02-25 00:00:00
17, higham,2,2008-11-29 00:00:00,2008-12-01 00:00:00
18, toeplitz,4,2019-07-09 00:00:00,2019-07-13 00:00:00
19, hermiticity,771,2010-06-21 00:00:00,2012-07-31 00:00:00
20, sequilinear,1,2006-10-25 00:00:00,2006-10-26 00:00:00
21, png,4826,2005-10-22 00:00:00,2019-01-08 00:00:00
22,definita,315,2005-05-10 00:00:00,2006-03-21 00:00:00
23,cholesky,2419,2008-11-29 00:00:00,2015-07-15 00:00:00
24, optimisation,168,2018-02-06 00:00:00,2018-07-24 00:00:00
25,definiitti,386,2006-03-21 00:00:00,2007-04-11 00:00:00
26, definida,1549,2008-11-29 00:00:00,2013-02-25 00:00:00
27, sesquilinear,3630,2012-07-27 00:00:00,2022-07-05 00:00:00
28, semilinear,1201,2019-03-22 00:00:00,2022-07-05 00:00:00
29, kth,1,2008-09-09 00:00:00,2008-09-10 00:00:00
30, heatmap,21,2021-01-18 00:00:00,2021-02-08 00:00:00
31, xtmx,13,2011-08-17 00:00:00,2011-08-30 00:00:00
32, vansish,1,2021-05-02 00:00:00,2021-05-03 00:00:00
33, diagonalized,2356,2016-01-22 00:00:00,2022-07-05 00:00:00
34, hermitean,1,2013-08-13 00:00:00,2013-08-14 00:00:00
35, dodatnio,1870,2007-01-08 00:00:00,2012-02-21 00:00:00
36, usefull,26,2010-07-01 00:00:00,2010-07-27 00:00:00
37, produt,2,2021-05-04 00:00:00,2021-05-06 00:00:00
38, definiitti,2147,2007-04-11 00:00:00,2013-02-25 00:00:00
39,bhatia,1512,2015-07-15 00:00:00,2019-09-04 00:00:00
40, rohit,26,2010-01-29 00:00:00,2010-02-24 00:00:00
41, triangularized,83,2012-05-09 00:00:00,2012-07-31 00:00:00
42, bhatia,1035,2019-09-04 00:00:00,2022-07-05 00:00:00
43, definit,6,2012-03-06 00:00:00,2012-03-12 00:00:00
